,antecedent,consequent,support,confiance
0,[49],[55],1.0,1.0
1,[55],[49],1.0,1.0
2,[26],[55],0.99,1.0
3,[55],[26],0.99,1.0
4,[49],[26],0.99,1.0
5,[26],[49],0.99,1.0
6,[55],[37],0.99,0.99
7,[49],[37],0.99,0.99
8,[55],[57],0.98,0.99
9,[49],[57],0.98,0.99
10,[55],[33],0.97,0.97
11,[49],[33],0.97,0.97
12,[55],[4],0.96,0.96
13,[26],[4],0.96,0.96
14,[55],[59],0.96,0.96
15,[57],[63],0.95,0.96
16,[26],[31],0.95,0.95
17,[55],[31],0.95,0.95
18,[49],[59],0.95,0.96
19,[55],[63],0.94,0.95
20,[55],[53],0.94,0.95
21,[49],[53],0.94,0.95
22,[55],[45],0.94,0.94
23,[49],[45],0.94,0.94
24,[55],[2],0.93,0.93
25,[26],[2],0.93,0.93
26,[55],[6],0.9,0.9
27,[26],[6],0.9,0.9
28,[55],[22],0.89,0.89
29,[49],[22],0.89,0.89
30,[26],[0],0.89,0.89
31,[55],[0],0.89,0.89
32,[49],[39],0.85,0.85
33,[55],[39],0.85,0.85
34,[37],[61],0.82,0.83
35,[49],[61],0.82,0.83
36,[55],[41],0.82,0.82
37,[49],[41],0.81,0.82
38,[55],[43],0.8,0.8
39,[49],[43],0.8,0.8
40,[55],[28],0.79,0.79
41,[26],[28],0.79,0.79
42,[55],[14],0.78,0.78
43,[49],[14],0.78,0.78
44,[55],[71],0.75,0.75
45,[49],[71],0.75,0.75
46,[63],[69],0.73,0.78
47,[57],[69],0.73,0.74
48,[55],[18],0.7,0.7
49,[49],[18],0.69,0.7
50,[55],[51],0.69,0.69
51,[49],[51],0.69,0.69
52,[55],[24],0.69,0.69
53,[26],[24],0.69,0.69
54,[37],[35],0.69,0.69
55,[55],[35],0.69,0.69
56,[55],[8],0.67,0.67
57,[49],[8],0.66,0.66
58,[55],[12],0.63,0.63
59,[57],[12],0.63,0.64
60,[37],[67],0.63,0.63
61,[26],[67],0.63,0.63
62,[37],[47],0.62,0.62
63,[43],[16],0.62,0.77
64,[4],[47],0.62,0.64
65,[14],[16],0.62,0.79
66,[55],[65],0.62,0.62
67,[49],[65],0.62,0.62
68,[49],[20],0.57,0.57
69,[55],[20],0.57,0.57
70,[55],[10],0.54,0.54
71,[49],[10],0.54,0.54
72,[57],[73],0.52,0.53
73,[26],[73],0.52,0.52
74,[2],[13],0.37,0.39
75,[45],[9],0.33,0.35
76,[33],[9],0.33,0.34
77,[20],[72],0.25,0.43
78,[13],[17],0.22,0.61
79,[2],[15],0.22,0.23
80,[17],[15],0.22,0.57
81,[13],[74],0.21,0.59
82,[9],[13],0.21,0.62
83,[4],[44],0.2,0.21
84,[17],[44],0.2,0.53
85,[13],[11],0.19,0.51
86,[51],[62],0.18,0.25
87,[73],[42],0.18,0.35
88,[71],[62],0.18,0.23
89,[13],[21],0.18,0.49
90,[9],[17],0.18,0.53
91,[9],[74],0.17,0.51
92,[9],[11],0.16,0.48
93,[13],[68],0.15,0.42
94,[9],[68],0.15,0.45
95,[71],[40],0.15,0.2
96,[51],[40],0.15,0.22
97,[71],[29],0.14,0.19
98,[13],[66],0.14,0.38
99,[51],[29],0.14,0.2
100,[13],[48],0.13,0.36
101,[9],[21],0.12,0.36
102,[15],[19],0.12,0.53
103,[9],[66],0.12,0.37
104,[55],[23],0.11,0.11
105,[51],[1],0.11,0.16
106,[71],[1],0.11,0.15
107,[37],[23],0.11,0.11
108,[62],[70],0.11,0.62
109,[9],[48],0.11,0.34
110,[45],[7],0.1,0.11
111,[33],[7],0.1,0.1
112,[15],[25],0.08,0.35
113,[62],[36],0.08,0.47
114,[14],[3],0.07,0.09
115,[12],[3],0.07,0.11
116,[51],[30],0.07,0.1
117,[71],[30],0.07,0.09
118,[40],[36],0.07,0.44
119,[44],[52],0.07,0.35
120,[15],[52],0.06,0.28
121,[8],[46],0.06,0.09
122,[6],[46],0.06,0.06
123,[70],[19],0.06,0.23
124,[44],[25],0.06,0.3
125,[44],[70],0.06,0.29
126,[15],[72],0.05,0.24
127,[62],[42],0.05,0.29
128,[45],[54],0.05,0.06
129,[63],[54],0.05,0.06
130,[70],[64],0.05,0.21
131,[10],[64],0.05,0.1
