,antecedent,consequent,support,confiance
0,[49],[55],0.996,1.0
1,[55],[49],0.996,0.997
2,[26],[55],0.995,1.0
3,[55],[26],0.995,0.995
4,[49],[26],0.992,0.995
5,[26],[49],0.992,0.997
6,"[26, 55]",[49],0.992,0.997
7,[55],[37],0.992,0.992
8,"[49, 55]",[26],0.992,0.995
9,"[26, 49]",[55],0.992,1.0
10,[49],[37],0.988,0.992
11,"[37, 49]",[55],0.988,1.0
12,"[49, 55]",[37],0.988,0.992
13,"[37, 55]",[49],0.988,0.997
14,"[37, 55]",[26],0.987,0.995
15,"[26, 55]",[37],0.987,0.992
16,[55],[57],0.985,0.985
17,[49],[57],0.982,0.985
18,"[49, 55]",[57],0.982,0.985
19,"[26, 55]",[57],0.981,0.986
20,[55],[33],0.969,0.97
21,[49],[33],0.966,0.97
22,"[49, 55]",[33],0.966,0.97
23,"[26, 55]",[33],0.965,0.969
24,[55],[4],0.962,0.962
25,[26],[4],0.96,0.965
26,"[26, 55]",[4],0.96,0.965
27,"[49, 55]",[4],0.959,0.962
28,[55],[59],0.957,0.958
29,[49],[59],0.954,0.957
30,"[49, 55]",[59],0.954,0.958
31,"[26, 55]",[59],0.953,0.958
32,[55],[31],0.951,0.951
33,[26],[31],0.95,0.954
34,"[26, 55]",[31],0.95,0.954
35,"[49, 55]",[31],0.948,0.952
36,[57],[63],0.945,0.959
37,"[55, 57]",[63],0.945,0.959
38,[55],[63],0.945,0.945
39,[55],[53],0.945,0.945
40,[49],[53],0.944,0.947
41,"[49, 55]",[53],0.943,0.947
42,"[26, 57]",[63],0.943,0.961
43,[55],[45],0.942,0.943
44,"[26, 55]",[53],0.94,0.945
45,[49],[45],0.939,0.943
46,"[49, 55]",[45],0.939,0.943
47,"[26, 55]",[45],0.938,0.942
48,[55],[2],0.929,0.93
49,[26],[2],0.927,0.932
50,"[26, 55]",[2],0.927,0.932
51,"[49, 55]",[2],0.926,0.929
52,[55],[6],0.899,0.899
53,[26],[6],0.897,0.901
54,"[26, 55]",[6],0.896,0.901
55,"[49, 55]",[6],0.896,0.9
56,[55],[22],0.895,0.895
57,[49],[22],0.892,0.895
58,"[49, 55]",[22],0.891,0.895
59,"[26, 55]",[22],0.891,0.895
60,"[26, 55]",[0],0.888,0.893
61,[55],[0],0.888,0.889
62,[26],[0],0.888,0.892
63,"[26, 49]",[0],0.885,0.893
64,[55],[39],0.849,0.849
65,[49],[39],0.847,0.85
66,"[49, 55]",[39],0.847,0.85
67,"[26, 55]",[39],0.845,0.849
68,[55],[61],0.823,0.823
69,[37],[61],0.823,0.83
70,"[49, 55]",[61],0.823,0.826
71,"[37, 49]",[61],0.823,0.832
72,[55],[41],0.817,0.817
73,[49],[41],0.814,0.817
74,"[49, 55]",[41],0.814,0.817
75,"[26, 55]",[41],0.812,0.816
76,[55],[43],0.799,0.8
77,[49],[43],0.796,0.799
78,"[49, 55]",[43],0.796,0.799
79,"[26, 55]",[43],0.795,0.799
80,[55],[28],0.79,0.791
81,[26],[28],0.788,0.791
82,"[26, 55]",[28],0.788,0.792
83,"[49, 55]",[28],0.787,0.79
84,[55],[14],0.782,0.782
85,[49],[14],0.779,0.781
86,"[49, 55]",[14],0.778,0.781
87,"[26, 55]",[14],0.778,0.781
88,[55],[71],0.753,0.753
89,[49],[71],0.75,0.752
90,"[49, 55]",[71],0.749,0.752
91,"[26, 55]",[71],0.748,0.752
92,"[49, 57]",[69],0.734,0.747
93,"[26, 49]",[69],0.734,0.74
94,[63],[69],0.734,0.776
95,[57],[69],0.734,0.745
96,[55],[18],0.696,0.696
97,[55],[51],0.693,0.693
98,[49],[18],0.693,0.695
99,"[49, 55]",[18],0.693,0.695
100,"[26, 55]",[18],0.691,0.695
101,[49],[51],0.69,0.692
102,"[49, 55]",[51],0.69,0.692
103,[55],[24],0.69,0.69
104,"[26, 55]",[51],0.688,0.692
105,[26],[24],0.688,0.691
106,"[26, 55]",[24],0.687,0.691
107,[37],[35],0.687,0.693
108,[55],[35],0.687,0.687
109,"[37, 55]",[35],0.687,0.693
110,"[49, 55]",[24],0.686,0.689
111,"[37, 49]",[35],0.685,0.693
112,[55],[8],0.666,0.666
113,[49],[8],0.663,0.665
114,"[49, 55]",[8],0.662,0.665
115,"[26, 55]",[8],0.661,0.664
116,[55],[12],0.634,0.634
117,[57],[12],0.63,0.64
118,"[49, 55]",[12],0.63,0.633
119,"[55, 57]",[12],0.63,0.64
120,[26],[67],0.628,0.631
121,[37],[67],0.628,0.633
122,"[26, 37]",[67],0.628,0.636
123,"[37, 55]",[67],0.628,0.633
124,[55],[65],0.62,0.621
125,[49],[65],0.62,0.622
126,[43],[16],0.62,0.775
127,"[14, 43]",[16],0.62,1.0
128,[14],[16],0.62,0.792
129,"[49, 55]",[65],0.62,0.622
130,"[14, 55]",[16],0.619,0.792
131,[55],[47],0.618,0.618
132,"[37, 55]",[47],0.618,0.623
133,"[4, 37]",[47],0.618,0.648
134,[4],[47],0.618,0.642
135,"[53, 55]",[65],0.617,0.653
136,[49],[20],0.569,0.57
137,"[49, 55]",[20],0.569,0.571
138,[55],[20],0.569,0.569
139,"[37, 55]",[20],0.568,0.573
140,[55],[10],0.538,0.539
141,[49],[10],0.536,0.538
142,"[49, 55]",[10],0.536,0.538
143,"[37, 55]",[10],0.535,0.54
144,[26],[73],0.522,0.525
145,"[55, 57]",[73],0.522,0.53
146,"[26, 55]",[73],0.522,0.525
147,[55],[73],0.522,0.522
148,[41],[74],0.478,0.585
149,"[41, 55]",[74],0.477,0.584
150,[55],[74],0.477,0.478
151,"[37, 41]",[74],0.475,0.587
152,[63],[11],0.461,0.488
153,"[26, 57]",[11],0.461,0.47
154,"[57, 63]",[11],0.461,0.488
155,[26],[11],0.461,0.463
156,"[51, 71]",[21],0.431,0.704
157,"[51, 57]",[21],0.431,0.636
158,[63],[21],0.431,0.456
159,[57],[21],0.431,0.438
160,[55],[48],0.382,0.382
161,[55],[17],0.38,0.381
162,[49],[17],0.38,0.382
163,"[49, 55]",[17],0.38,0.382
164,[49],[48],0.38,0.381
165,"[26, 49]",[17],0.38,0.383
166,"[49, 55]",[48],0.38,0.381
167,"[55, 57]",[66],0.379,0.385
168,"[26, 55]",[66],0.379,0.381
169,[26],[66],0.379,0.381
170,[57],[66],0.379,0.385
171,"[26, 55]",[48],0.379,0.381
172,[55],[68],0.372,0.372
173,[33],[68],0.37,0.382
174,"[33, 55]",[68],0.37,0.382
175,"[49, 55]",[68],0.37,0.372
176,[2],[13],0.366,0.394
177,[49],[13],0.366,0.367
178,"[2, 37]",[13],0.366,0.397
179,"[2, 49]",[13],0.366,0.395
180,"[45, 49]",[9],0.334,0.355
181,"[49, 55]",[9],0.334,0.335
182,[45],[9],0.334,0.354
183,[33],[9],0.334,0.344
184,[55],[36],0.313,0.313
185,"[26, 55]",[36],0.313,0.314
186,[26],[36],0.313,0.314
187,"[49, 55]",[36],0.312,0.313
188,"[37, 49]",[25],0.31,0.314
189,"[49, 55]",[25],0.31,0.311
190,[37],[25],0.31,0.313
191,[49],[25],0.31,0.311
192,"[0, 26]",[52],0.307,0.345
193,"[26, 39]",[52],0.307,0.363
194,[0],[52],0.307,0.345
195,[39],[52],0.307,0.361
196,[55],[19],0.304,0.304
197,[37],[19],0.304,0.306
198,"[26, 37]",[19],0.304,0.308
199,"[26, 55]",[19],0.304,0.305
200,[71],[70],0.266,0.354
201,[51],[70],0.266,0.384
202,"[51, 71]",[70],0.266,0.434
203,"[55, 71]",[70],0.266,0.353
204,"[39, 55]",[72],0.247,0.291
205,"[49, 69]",[72],0.247,0.336
206,[39],[72],0.247,0.291
207,[0],[72],0.247,0.278
208,[17],[15],0.218,0.572
209,[2],[15],0.218,0.234
210,"[2, 49]",[15],0.218,0.235
211,"[17, 37]",[15],0.218,0.573
212,[49],[44],0.2,0.201
213,"[17, 55]",[44],0.2,0.526
214,"[4, 55]",[44],0.2,0.208
215,[4],[44],0.2,0.208
216,"[55, 73]",[42],0.183,0.35
217,"[55, 57]",[42],0.183,0.186
218,[49],[42],0.183,0.183
219,[73],[42],0.183,0.35
220,[57],[62],0.177,0.179
221,"[26, 55]",[62],0.177,0.178
222,[71],[62],0.177,0.235
223,"[55, 57]",[62],0.177,0.179
224,"[51, 71]",[40],0.151,0.246
225,"[55, 71]",[40],0.151,0.2
226,[55],[40],0.151,0.151
227,[71],[40],0.151,0.2
228,"[55, 71]",[29],0.14,0.185
229,[71],[29],0.14,0.185
230,[45],[29],0.14,0.148
231,"[26, 55]",[29],0.14,0.14
232,"[51, 71]",[1],0.112,0.182
233,[37],[1],0.112,0.113
234,[71],[1],0.112,0.148
235,"[37, 51]",[1],0.112,0.163
236,"[37, 55]",[23],0.105,0.106
237,[55],[23],0.105,0.105
238,[37],[23],0.105,0.106
239,"[49, 55]",[23],0.105,0.105
240,[33],[7],0.101,0.104
241,"[45, 55]",[7],0.101,0.107
242,[55],[7],0.101,0.101
243,"[33, 45]",[7],0.101,0.108
244,"[45, 57]",[3],0.07,0.075
245,"[14, 57]",[3],0.07,0.092
246,[45],[3],0.07,0.075
247,[33],[3],0.07,0.073
248,"[37, 71]",[30],0.07,0.094
249,"[51, 71]",[30],0.07,0.114
250,[71],[30],0.07,0.093
251,[37],[30],0.07,0.071
252,"[31, 37]",[46],0.057,0.061
253,"[4, 59]",[46],0.057,0.062
254,[55],[46],0.057,0.057
255,[49],[46],0.057,0.057
256,[51],[64],0.055,0.079
257,[20],[64],0.055,0.096
258,"[20, 51]",[64],0.055,0.209
259,"[10, 70]",[64],0.055,0.3
260,"[26, 57]",[54],0.055,0.056
261,"[45, 57]",[54],0.055,0.059
262,[33],[54],0.055,0.056
263,[63],[54],0.055,0.058
264,[33],[32],0.049,0.05
265,[55],[32],0.049,0.049
266,"[45, 55]",[32],0.049,0.052
267,"[33, 55]",[32],0.049,0.05
268,"[33, 45]",[60],0.043,0.046
269,[49],[60],0.043,0.043
270,[26],[60],0.043,0.043
271,"[4, 33]",[60],0.043,0.046
272,"[33, 48]",[5],0.038,0.1
273,"[33, 43]",[5],0.038,0.049
274,[48],[5],0.038,0.098
275,[55],[5],0.038,0.038
276,"[4, 55]",[34],0.03,0.032
277,"[6, 49]",[34],0.03,0.034
278,[49],[34],0.03,0.03
279,[55],[34],0.03,0.03
280,"[10, 61]",[58],0.015,0.034
281,"[20, 61]",[58],0.015,0.026
282,[41],[58],0.015,0.018
283,[49],[58],0.015,0.015
