,antecedent,consequent,support,confiance
0,[10],[20],0.33,1.0
1,[20],[10],0.33,1.0
2,[10],[15],0.33,0.98
3,[15],[10],0.33,1.0
4,[20],[15],0.33,0.98
5,[15],[20],0.33,1.0
6,"[10, 20]",[15],0.33,0.98
7,"[10, 15]",[20],0.33,1.0
8,"[15, 20]",[10],0.33,1.0
9,[17],[21],0.25,0.93
10,[12],[21],0.22,0.97
11,"[0, 20]",[10],0.19,1.0
12,"[0, 10]",[20],0.19,1.0
13,"[7, 20]",[15],0.18,1.0
14,"[0, 15]",[20],0.18,1.0
15,"[7, 15]",[20],0.18,1.0
16,"[0, 15]",[10],0.18,1.0
17,"[0, 10]",[15],0.18,0.96
18,"[7, 10]",[15],0.18,1.0
19,"[7, 15]",[10],0.18,1.0
20,"[0, 10, 20]",[15],0.18,0.96
21,"[0, 10, 15]",[20],0.18,1.0
22,"[0, 15, 20]",[10],0.18,1.0
23,"[0, 20]",[15],0.18,0.96
24,"[7, 10]",[20],0.18,1.0
25,"[7, 10, 20]",[15],0.18,1.0
26,"[7, 10, 15]",[20],0.18,1.0
27,"[7, 15, 20]",[10],0.18,1.0
28,"[12, 17]",[21],0.18,1.0
29,"[7, 20]",[10],0.18,1.0
30,"[0, 7, 10, 20]",[15],0.15,1.0
31,[19],[22],0.15,1.0
32,"[0, 7]",[15],0.15,1.0
33,"[6, 17]",[21],0.15,0.92
34,"[0, 7, 10, 15]",[20],0.15,1.0
35,"[0, 7, 10]",[20],0.15,1.0
36,"[0, 7, 20]",[10],0.15,1.0
37,"[0, 7, 10]",[15],0.15,1.0
38,"[0, 7, 15]",[10],0.15,1.0
39,"[0, 7, 15, 20]",[10],0.15,1.0
40,"[0, 7, 15]",[20],0.15,1.0
41,"[0, 7, 20]",[15],0.15,1.0
42,"[0, 7]",[20],0.15,1.0
43,"[0, 7]",[10],0.15,1.0
44,"[1, 15, 20]",[10],0.14,1.0
45,"[1, 10]",[15],0.14,1.0
46,"[1, 15]",[10],0.14,1.0
47,"[1, 10]",[20],0.14,1.0
48,"[1, 20]",[10],0.14,1.0
49,"[1, 15]",[20],0.14,1.0
50,"[1, 10, 20]",[15],0.14,1.0
51,"[1, 10, 15]",[20],0.14,1.0
52,"[1, 20]",[15],0.14,1.0
53,"[2, 22]",[13],0.13,0.95
54,"[8, 10]",[20],0.11,1.0
55,"[8, 10, 20]",[15],0.11,0.94
56,"[7, 19]",[22],0.11,1.0
57,"[8, 10, 15]",[20],0.11,1.0
58,"[6, 12]",[21],0.11,0.94
59,"[1, 21]",[12],0.11,0.94
60,"[8, 20]",[10],0.11,1.0
61,"[1, 12]",[21],0.11,1.0
62,"[8, 15]",[20],0.11,1.0
63,"[8, 20]",[15],0.11,0.94
64,"[1, 17]",[21],0.11,1.0
65,"[8, 15, 20]",[10],0.11,1.0
66,"[8, 15]",[10],0.11,1.0
67,"[8, 10]",[15],0.11,0.94
68,[14],[22],0.11,1.0
69,"[1, 17]",[12],0.1,0.94
70,"[1, 12, 17]",[21],0.1,1.0
71,"[1, 17, 21]",[12],0.1,0.94
72,"[6, 12, 17]",[21],0.1,1.0
