,antecedent,consequent,support,confiance
0,[72],[73],1.0,1.0
1,[72],[29],1.0,1.0
2,[29],[72],1.0,1.0
3,[73],[29],1.0,1.0
4,[29],[73],1.0,1.0
5,[73],[72],1.0,1.0
6,[29],[75],0.97,0.98
7,[72],[75],0.97,0.97
8,[73],[31],0.82,0.82
9,[72],[31],0.82,0.82
10,[31],[34],0.74,0.9
11,[29],[50],0.66,0.66
12,[73],[50],0.66,0.66
13,[73],[54],0.63,0.63
14,[29],[54],0.63,0.63
15,[73],[78],0.62,0.62
16,[29],[78],0.62,0.62
17,[78],[20],0.56,0.91
18,[29],[20],0.56,0.57
19,[29],[58],0.56,0.56
20,[73],[58],0.56,0.56
21,[73],[65],0.55,0.55
22,[29],[65],0.55,0.55
23,[50],[34],0.54,0.82
24,[72],[2],0.5,0.5
25,[73],[2],0.5,0.5
26,[73],[44],0.49,0.49
27,[72],[44],0.49,0.49
28,[20],[1],0.45,0.8
29,[54],[48],0.41,0.65
30,[58],[1],0.41,0.74
31,[50],[48],0.41,0.61
32,[72],[0],0.38,0.38
33,[73],[0],0.38,0.38
34,[75],[82],0.33,0.34
35,[29],[82],0.33,0.33
36,[29],[15],0.3,0.3
37,[0],[21],0.27,0.71
38,[2],[45],0.26,0.51
39,[75],[38],0.25,0.25
40,[82],[25],0.23,0.69
41,[29],[8],0.22,0.22
42,[73],[8],0.22,0.22
43,[72],[12],0.21,0.21
44,[73],[12],0.21,0.21
45,[58],[88],0.2,0.35
46,[65],[88],0.2,0.36
47,[58],[46],0.2,0.36
48,[65],[46],0.2,0.36
49,[29],[13],0.19,0.19
50,[75],[13],0.19,0.19
51,[0],[91],0.19,0.5
52,[48],[66],0.18,0.27
53,[48],[60],0.18,0.27
54,[31],[66],0.18,0.22
55,[75],[32],0.18,0.19
56,[75],[36],0.17,0.18
57,[29],[36],0.17,0.17
58,[0],[5],0.17,0.45
59,[82],[97],0.17,0.51
60,[72],[39],0.17,0.17
61,[73],[39],0.17,0.17
62,[58],[14],0.16,0.28
63,[65],[14],0.16,0.28
64,[21],[79],0.15,0.33
65,[0],[9],0.15,0.4
66,[32],[79],0.15,0.8
67,[82],[5],0.13,0.4
68,[82],[9],0.13,0.38
69,[82],[10],0.13,0.38
70,[0],[10],0.13,0.35
71,[34],[40],0.13,0.15
72,[8],[95],0.13,0.59
73,[75],[40],0.13,0.13
74,[29],[37],0.12,0.12
75,[44],[37],0.12,0.24
76,[29],[33],0.12,0.13
77,[0],[97],0.12,0.31
78,[75],[33],0.12,0.13
79,[13],[57],0.11,0.61
80,[13],[52],0.11,0.61
81,[13],[85],0.11,0.61
82,[13],[26],0.11,0.61
83,[13],[80],0.11,0.61
84,[75],[55],0.1,0.1
85,[31],[16],0.1,0.13
86,[97],[67],0.1,0.23
87,[25],[67],0.1,0.21
88,[82],[91],0.1,0.3
89,[58],[55],0.1,0.18
90,[97],[16],0.1,0.24
91,[75],[51],0.1,0.1
92,[12],[83],0.1,0.47
93,[97],[59],0.1,0.23
94,[58],[51],0.1,0.18
95,[31],[98],0.1,0.12
96,[44],[98],0.1,0.21
97,[72],[47],0.1,0.1
98,[44],[47],0.1,0.2
99,[25],[59],0.1,0.21
100,[82],[21],0.09,0.28
101,[44],[69],0.09,0.18
102,[97],[41],0.09,0.19
103,[21],[69],0.09,0.2
104,[78],[41],0.09,0.14
105,[21],[61],0.08,0.18
106,[44],[61],0.08,0.16
107,[8],[83],0.08,0.36
108,[80],[68],0.08,0.33
109,[57],[68],0.08,0.33
110,[80],[62],0.08,0.33
111,[57],[62],0.08,0.33
112,[37],[52],0.08,0.66
113,[8],[25],0.08,0.35
114,[37],[57],0.08,0.66
115,[37],[80],0.08,0.66
116,[58],[24],0.07,0.13
117,[65],[23],0.07,0.13
118,[58],[23],0.07,0.13
119,[58],[94],0.07,0.12
120,[65],[94],0.07,0.12
121,[58],[35],0.07,0.13
122,[65],[35],0.07,0.13
123,[65],[24],0.07,0.13
124,[13],[92],0.07,0.35
125,[12],[92],0.07,0.33
126,[79],[90],0.07,0.47
127,[32],[90],0.07,0.37
128,[12],[95],0.07,0.32
129,[14],[32],0.06,0.39
130,[66],[60],0.06,0.33
131,[46],[15],0.05,0.27
132,[8],[85],0.05,0.23
133,[44],[96],0.05,0.11
134,[29],[3],0.05,0.05
135,[44],[3],0.05,0.11
136,[12],[38],0.05,0.24
137,[0],[45],0.05,0.13
138,[8],[26],0.05,0.23
139,[65],[96],0.05,0.09
