,antecedent,consequent,support,confiance
0,[0],[19],0.17,0.5
1,[19],[16],0.17,0.33
2,[0],[20],0.17,0.5
3,[20],[0],0.17,0.33
4,[24],[19],0.17,0.5
5,[19],[24],0.17,0.33
6,[24],[20],0.17,0.5
7,[19],[21],0.17,0.33
8,[19],[0],0.17,0.33
9,[19],[15],0.12,0.25
10,[19],[14],0.12,0.25
11,[19],[12],0.12,0.25
12,[19],[8],0.12,0.25
13,[21],[29],0.11,0.33
14,[16],[22],0.11,0.33
15,[21],[2],0.11,0.33
16,[24],[21],0.11,0.33
17,[24],[2],0.11,0.33
18,[21],[25],0.11,0.33
19,[16],[23],0.11,0.33
20,[0],[24],0.11,0.33
21,[16],[29],0.11,0.33
22,[16],[25],0.11,0.33
23,[21],[16],0.11,0.33
24,[16],[26],0.11,0.33
25,[21],[26],0.11,0.33
26,[19],[4],0.1,0.2
27,[19],[5],0.1,0.2
28,[19],[6],0.1,0.2
29,[19],[3],0.1,0.2
30,[19],[7],0.1,0.2
31,[12],[28],0.09,0.37
32,[8],[28],0.09,0.36
33,[8],[18],0.08,0.33
34,[8],[1],0.08,0.33
35,[16],[8],0.08,0.25
36,[8],[17],0.08,0.33
37,[12],[1],0.08,0.33
38,[12],[17],0.08,0.33
39,[12],[23],0.08,0.33
40,[12],[22],0.08,0.33
41,[16],[12],0.08,0.25
42,[12],[18],0.08,0.33
43,[16],[6],0.07,0.2
44,[8],[31],0.07,0.27
45,[16],[7],0.07,0.2
46,[16],[3],0.07,0.2
47,[14],[11],0.06,0.25
48,[12],[31],0.06,0.25
49,[8],[13],0.06,0.25
50,[3],[13],0.05,0.25
51,[3],[14],0.05,0.25
52,[3],[15],0.05,0.25
53,[3],[10],0.05,0.25
54,[3],[11],0.05,0.25
55,[3],[9],0.05,0.25
56,[24],[30],0.03,0.08
57,[16],[30],0.02,0.05
58,[30],[5],0.01,0.2
59,[30],[4],0.01,0.4
60,[30],[10],0.01,0.21
61,[30],[9],0.01,0.3
