,antecedent,consequent,support,confiance
0,[26],[29],0.333,1.0
1,[29],[26],0.333,1.0
2,[31],[25],0.19,0.61
3,[25],[31],0.19,0.571
4,[24],[28],0.186,0.558
5,[28],[24],0.186,0.565
6,[19],[28],0.173,0.346
7,[28],[19],0.173,0.526
8,[20],[31],0.169,0.338
9,[31],[20],0.169,0.541
10,[26],[20],0.167,0.5
11,[19],[26],0.167,0.333
12,"[19, 26]",[29],0.167,1.0
13,"[26, 29]",[19],0.167,0.5
14,[26],[19],0.167,0.5
15,"[19, 29]",[26],0.167,1.0
16,[20],[29],0.167,0.333
17,"[26, 29]",[20],0.167,0.5
18,[20],[25],0.167,0.333
19,[20],[16],0.167,0.333
20,"[20, 26]",[29],0.167,1.0
21,"[20, 29]",[26],0.167,1.0
22,[19],[22],0.167,0.333
23,[19],[2],0.167,0.333
24,[20],[1],0.167,0.333
25,[19],[1],0.167,0.333
26,[19],[0],0.167,0.333
27,[20],[18],0.167,0.333
28,[19],[18],0.167,0.333
29,[20],[17],0.167,0.333
30,[19],[17],0.167,0.333
31,[20],[23],0.167,0.333
32,[19],[23],0.167,0.333
33,[20],[22],0.167,0.333
34,[19],[16],0.167,0.333
35,[20],[2],0.167,0.333
36,[20],[24],0.167,0.333
37,[19],[21],0.167,0.333
38,[20],[0],0.167,0.333
39,[20],[21],0.167,0.333
40,[19],[10],0.125,0.25
41,[20],[14],0.125,0.25
42,[19],[15],0.125,0.25
43,[20],[12],0.125,0.25
44,[20],[13],0.125,0.25
45,[19],[11],0.125,0.25
46,[19],[8],0.125,0.25
47,[19],[12],0.125,0.25
48,[19],[14],0.125,0.25
49,[19],[9],0.125,0.25
50,[20],[15],0.125,0.25
51,[19],[13],0.125,0.25
52,[20],[11],0.125,0.25
53,[20],[10],0.125,0.25
54,[20],[9],0.125,0.25
55,[20],[8],0.125,0.25
56,[31],[7],0.117,0.375
57,"[26, 29]",[2],0.111,0.333
58,"[26, 29]",[0],0.111,0.333
59,"[26, 29]",[17],0.111,0.333
60,"[26, 29]",[18],0.111,0.333
61,"[26, 29]",[22],0.111,0.333
62,"[26, 29]",[23],0.111,0.333
63,"[26, 29]",[1],0.111,0.333
64,"[26, 29]",[21],0.111,0.333
65,"[26, 29]",[16],0.111,0.333
66,[28],[3],0.104,0.315
67,[28],[4],0.104,0.315
68,"[20, 25]",[31],0.101,0.606
69,"[25, 31]",[20],0.101,0.53
70,"[20, 31]",[25],0.101,0.598
71,[20],[6],0.1,0.2
72,[19],[6],0.1,0.2
73,[19],[3],0.1,0.2
74,[20],[5],0.1,0.2
75,[19],[5],0.1,0.2
76,[20],[7],0.1,0.2
77,[20],[4],0.1,0.2
78,"[19, 28]",[24],0.096,0.553
79,"[19, 24]",[28],0.096,0.575
80,"[24, 28]",[19],0.096,0.515
81,"[2, 31]",[25],0.095,0.61
82,"[2, 25]",[31],0.095,0.856
83,"[25, 31]",[2],0.095,0.5
84,"[20, 28]",[24],0.09,0.579
85,"[20, 24]",[28],0.09,0.542
86,"[26, 29]",[12],0.083,0.25
87,"[26, 29]",[11],0.083,0.25
88,"[26, 29]",[14],0.083,0.25
89,"[26, 29]",[13],0.083,0.25
90,"[26, 29]",[10],0.083,0.25
91,"[26, 29]",[15],0.083,0.25
92,"[26, 29]",[9],0.083,0.25
93,"[26, 29]",[8],0.083,0.25
94,"[25, 28]",[0],0.075,0.521
95,"[25, 31]",[18],0.072,0.38
96,"[19, 28]",[16],0.071,0.41
97,"[24, 28]",[21],0.069,0.372
98,"[24, 28]",[22],0.069,0.372
99,"[20, 31]",[23],0.067,0.399
100,"[26, 29]",[7],0.067,0.2
101,"[26, 29]",[3],0.067,0.2
102,"[26, 29]",[4],0.067,0.2
103,"[26, 29]",[5],0.067,0.2
104,"[26, 29]",[6],0.067,0.2
105,"[25, 31]",[7],0.066,0.347
106,"[25, 31]",[17],0.065,0.341
107,"[24, 28]",[1],0.062,0.333
108,"[25, 31]",[6],0.059,0.308
109,"[25, 28]",[3],0.052,0.364
110,"[25, 28]",[4],0.052,0.364
111,"[25, 31]",[14],0.052,0.273
112,"[25, 31]",[11],0.052,0.273
113,"[25, 31]",[15],0.052,0.273
114,"[24, 28]",[12],0.05,0.269
115,"[25, 31]",[10],0.049,0.258
116,"[24, 28]",[8],0.049,0.261
117,"[24, 28]",[13],0.047,0.254
118,"[24, 28]",[9],0.047,0.254
119,"[24, 28]",[5],0.04,0.213
120,[24],[30],0.025,0.076
121,"[19, 24]",[30],0.017,0.101
122,[19],[30],0.017,0.034
123,"[16, 24]",[30],0.016,0.144
