,antecedent,consequent,support,confiance
0,[32],[17],0.159,0.786
1,[17],[32],0.159,0.473
2,[38],[32],0.143,0.877
3,[32],[38],0.143,0.706
4,[19],[63],0.142,0.83
5,[63],[19],0.142,0.865
6,[1],[12],0.14,0.819
7,[12],[1],0.14,0.861
8,[19],[1],0.139,0.813
9,[1],[19],0.139,0.816
10,[19],[11],0.139,0.811
11,[1],[11],0.138,0.81
12,[29],[16],0.136,0.738
13,[16],[29],0.136,0.697
14,[27],[17],0.135,0.829
15,[17],[27],0.135,0.403
16,[33],[30],0.134,0.85
17,[30],[33],0.134,0.806
18,[11],[63],0.129,0.828
19,[12],[8],0.128,0.79
20,[8],[12],0.128,0.872
21,"[1, 19]",[11],0.128,0.92
22,"[11, 19]",[1],0.128,0.922
23,"[1, 11]",[19],0.128,0.926
24,[30],[24],0.126,0.757
25,[24],[30],0.126,0.881
26,[63],[10],0.125,0.762
27,"[11, 19]",[63],0.124,0.896
28,"[19, 63]",[11],0.124,0.876
29,"[11, 63]",[19],0.124,0.961
30,[12],[33],0.123,0.759
31,[30],[67],0.122,0.737
32,[19],[0],0.122,0.716
33,[33],[67],0.122,0.776
34,"[19, 63]",[1],0.122,0.861
35,"[1, 19]",[63],0.122,0.879
36,[12],[35],0.122,0.75
37,[33],[8],0.121,0.771
38,[19],[10],0.121,0.71
39,[1],[35],0.121,0.71
40,[33],[31],0.121,0.768
41,[7],[62],0.121,0.816
42,[62],[7],0.121,0.496
43,[32],[20],0.121,0.597
44,[63],[0],0.12,0.73
45,[33],[24],0.119,0.755
46,[21],[5],0.119,0.931
47,[5],[21],0.119,0.8
48,[30],[2],0.119,0.716
49,"[1, 19]",[12],0.119,0.853
50,[62],[60],0.118,0.484
51,[60],[62],0.118,0.882
52,[30],[31],0.118,0.71
53,[30],[51],0.118,0.709
54,[63],[7],0.118,0.717
55,[17],[38],0.117,0.35
56,[30],[9],0.117,0.708
57,[31],[5],0.117,0.856
58,"[1, 11]",[12],0.117,0.848
59,"[19, 63]",[10],0.116,0.821
60,"[1, 12]",[8],0.116,0.829
61,[36],[27],0.116,0.665
62,[27],[36],0.116,0.709
63,[9],[51],0.115,0.846
64,[51],[9],0.115,0.791
65,[18],[36],0.115,0.733
66,[36],[18],0.115,0.663
67,[24],[2],0.115,0.806
68,[35],[6],0.115,0.813
69,"[30, 33]",[67],0.115,0.857
70,"[33, 67]",[30],0.115,0.938
71,"[30, 67]",[33],0.115,0.937
72,[5],[66],0.114,0.77
73,"[30, 33]",[24],0.114,0.853
74,"[24, 33]",[30],0.114,0.96
75,"[24, 30]",[33],0.114,0.908
76,[38],[20],0.114,0.702
77,"[1, 12]",[35],0.114,0.817
78,"[17, 32]",[38],0.114,0.718
79,"[32, 38]",[17],0.114,0.799
80,"[17, 38]",[32],0.114,0.97
81,[12],[6],0.113,0.698
82,[18],[29],0.113,0.719
83,[29],[18],0.113,0.614
84,[38],[43],0.112,0.691
85,[20],[26],0.112,0.762
86,[31],[21],0.112,0.818
87,"[12, 33]",[8],0.112,0.909
88,"[30, 33]",[31],0.112,0.836
89,"[24, 30]",[2],0.112,0.887
90,"[2, 30]",[24],0.112,0.939
91,[17],[16],0.111,0.331
92,"[19, 63]",[0],0.111,0.781
93,"[30, 33]",[2],0.11,0.826
94,[18],[41],0.11,0.703
95,"[11, 19]",[10],0.11,0.794
96,[26],[41],0.11,0.796
97,[41],[26],0.11,0.811
98,[9],[40],0.11,0.806
99,[51],[53],0.11,0.753
100,"[10, 63]",[7],0.108,0.867
101,"[8, 12]",[67],0.108,0.845
102,"[19, 63]",[7],0.108,0.763
103,[12],[39],0.108,0.667
104,"[11, 19]",[0],0.107,0.773
105,"[1, 19]",[35],0.107,0.771
106,"[5, 21]",[31],0.107,0.901
107,"[5, 31]",[21],0.107,0.912
108,"[21, 31]",[5],0.107,0.954
109,"[31, 33]",[5],0.107,0.885
110,[30],[40],0.107,0.642
111,"[30, 33]",[9],0.107,0.797
112,[33],[39],0.107,0.677
113,"[32, 38]",[20],0.106,0.745
114,"[20, 32]",[38],0.106,0.879
115,"[20, 38]",[32],0.106,0.93
116,[32],[43],0.106,0.523
117,[62],[64],0.105,0.432
118,[66],[64],0.105,0.79
119,[64],[66],0.105,0.795
120,"[9, 30]",[51],0.105,0.897
121,"[30, 51]",[9],0.105,0.895
122,"[12, 35]",[6],0.105,0.863
123,"[30, 33]",[51],0.104,0.78
124,"[1, 12]",[6],0.104,0.745
125,[30],[23],0.104,0.626
126,"[31, 33]",[21],0.103,0.854
127,[64],[60],0.102,0.772
128,"[32, 38]",[43],0.102,0.718
129,[30],[37],0.101,0.608
130,"[12, 33]",[39],0.1,0.816
131,"[9, 51]",[40],0.1,0.871
132,"[9, 30]",[40],0.1,0.854
133,"[7, 10]",[62],0.1,0.855
134,"[8, 12]",[39],0.1,0.782
135,[24],[23],0.1,0.699
136,"[7, 63]",[62],0.1,0.846
137,[40],[25],0.099,0.799
138,[30],[28],0.099,0.598
139,"[5, 21]",[66],0.098,0.828
140,[8],[65],0.098,0.668
141,[12],[65],0.098,0.605
142,"[17, 32]",[20],0.098,0.615
143,"[20, 32]",[17],0.098,0.809
144,[5],[22],0.097,0.655
145,[30],[53],0.097,0.586
146,[9],[25],0.097,0.715
147,"[5, 6]",[66],0.097,0.893
148,"[19, 63]",[64],0.096,0.679
149,"[24, 30]",[23],0.096,0.764
150,"[17, 27]",[36],0.096,0.71
151,"[17, 36]",[27],0.096,0.866
152,[24],[28],0.096,0.67
153,"[20, 38]",[26],0.095,0.836
154,[24],[37],0.095,0.668
155,"[8, 12]",[65],0.095,0.742
156,"[20, 32]",[26],0.095,0.785
157,"[5, 66]",[64],0.094,0.821
158,"[24, 30]",[28],0.094,0.746
159,[60],[57],0.094,0.7
160,"[20, 26]",[41],0.093,0.831
161,"[24, 30]",[37],0.093,0.742
162,"[30, 51]",[53],0.093,0.791
163,"[30, 33]",[23],0.093,0.693
164,"[9, 40]",[25],0.092,0.841
165,"[8, 67]",[65],0.092,0.801
166,"[30, 33]",[37],0.092,0.69
167,"[26, 41]",[18],0.092,0.84
168,"[18, 26]",[41],0.092,0.944
169,[30],[34],0.092,0.552
170,"[17, 32]",[27],0.092,0.578
171,"[36, 41]",[18],0.092,0.912
172,"[18, 41]",[36],0.092,0.83
173,"[9, 51]",[53],0.091,0.793
174,[24],[34],0.091,0.64
175,"[62, 64]",[60],0.091,0.863
176,"[2, 24]",[28],0.091,0.791
177,[40],[22],0.091,0.731
178,"[9, 51]",[25],0.09,0.785
179,"[18, 36]",[29],0.09,0.781
180,[62],[57],0.09,0.367
181,"[64, 66]",[60],0.09,0.85
182,"[24, 30]",[34],0.09,0.712
183,"[16, 36]",[29],0.089,0.801
184,"[29, 36]",[16],0.089,0.86
185,"[2, 24]",[34],0.088,0.77
186,"[20, 38]",[43],0.088,0.772
187,"[5, 21]",[22],0.088,0.74
188,"[5, 40]",[22],0.087,0.835
189,"[29, 62]",[16],0.087,0.769
190,[43],[42],0.085,0.606
191,[12],[3],0.084,0.519
192,[8],[3],0.084,0.571
193,"[60, 62]",[57],0.083,0.708
194,"[5, 66]",[57],0.082,0.719
195,"[8, 12]",[3],0.082,0.64
196,[26],[42],0.082,0.592
197,"[8, 33]",[3],0.08,0.662
198,[53],[46],0.078,0.638
199,[51],[46],0.077,0.528
200,[51],[45],0.076,0.523
201,[57],[58],0.076,0.682
202,"[51, 53]",[46],0.075,0.683
203,[30],[49],0.075,0.451
204,[53],[49],0.075,0.61
205,"[26, 43]",[42],0.074,0.777
206,"[23, 53]",[46],0.073,0.812
207,[5],[58],0.073,0.491
208,"[26, 41]",[42],0.072,0.657
209,"[51, 53]",[49],0.071,0.651
210,[58],[61],0.071,0.757
211,[18],[61],0.071,0.454
212,"[23, 30]",[49],0.071,0.683
213,[53],[45],0.07,0.574
214,[42],[54],0.07,0.711
215,"[51, 53]",[45],0.069,0.627
216,"[5, 22]",[58],0.068,0.698
217,[43],[15],0.067,0.48
218,[61],[59],0.067,0.734
219,[45],[54],0.067,0.773
220,"[5, 66]",[58],0.066,0.578
221,"[18, 41]",[61],0.065,0.593
222,"[26, 41]",[61],0.065,0.594
223,"[25, 51]",[45],0.064,0.661
224,[25],[59],0.063,0.56
225,[0],[13],0.062,0.327
226,"[26, 42]",[54],0.06,0.737
227,"[26, 41]",[54],0.06,0.548
228,[53],[47],0.06,0.487
229,[13],[14],0.06,0.433
230,[14],[13],0.06,0.947
231,"[58, 61]",[59],0.058,0.808
232,"[25, 61]",[59],0.057,0.831
233,[51],[47],0.056,0.386
234,"[51, 53]",[47],0.055,0.502
235,[38],[15],0.055,0.338
236,[15],[55],0.055,0.643
237,[43],[55],0.053,0.379
238,"[38, 43]",[15],0.053,0.468
239,"[42, 43]",[15],0.052,0.609
240,"[23, 53]",[47],0.051,0.568
241,[53],[52],0.051,0.418
242,[49],[52],0.051,0.622
243,[43],[48],0.05,0.358
244,"[49, 53]",[52],0.05,0.666
245,[15],[48],0.05,0.582
246,"[46, 53]",[52],0.05,0.634
247,"[15, 43]",[55],0.049,0.723
248,"[42, 43]",[55],0.047,0.548
249,"[15, 55]",[48],0.046,0.838
250,"[42, 43]",[48],0.045,0.53
251,[53],[44],0.041,0.331
252,[0],[4],0.04,0.208
