,Unnamed: 0,FpExecTime,FpTransformRuleTime,FpTotalTime,FpSupportAvg,FpConfAvg,nbNotNull,nnAvgSupp,nnAvgConf,nnFindInFp,FpFindInnn,timeTraining,timeCreatingRule,timeComputingMeasure,iter,goalLoss,nbEpoch,Unnamed: 0,iter,timeNSGAII,avgSuppNSGAII,avgConfNSGAII,nbRules,NSGAIIFindInFp,FpFindInNSGAII,NSGAIINbNotNull
0,0,0.7969989776611328,0.63602614402771,1.4330251216888428,0.1167983870967742,0.3664596774193548,125,0.0967417775848764,0.3332972602417832,0.19,0.34,0.1919836997985839,0.1879911422729492,2.35982608795166,0,0.1,0,0,0,114.89028453826904,0.0716970164609053,0.3880291753965103,150,0.1,0.08,150
1,1,0.743025541305542,0.6009736061096191,1.3439991474151611,0.1167983870967742,0.3664596774193548,123,0.0978690441743826,0.345949085431451,0.22,0.38,0.150975227355957,0.1520249843597412,0.2900004386901855,1,0.1,0,1,1,100.69210147857666,0.0709398148148148,0.3980266413117747,150,0.11,0.09,150
2,2,0.7489995956420898,0.6120002269744873,1.3609998226165771,0.1167983870967742,0.3664596774193548,127,0.1001410590277777,0.3300839640015056,0.27,0.45,0.1549732685089111,0.15602707862854,0.3029987812042236,2,0.1,0,2,2,125.7942271232605,0.0624444444444444,0.3870408303653152,150,0.06,0.05,150
3,3,0.7710015773773193,0.6209981441497803,1.3919997215270996,0.1167983870967742,0.3664596774193548,127,0.0981113763503085,0.3271514934888097,0.23,0.41,0.199115514755249,0.1509127616882324,0.3759946823120117,3,0.1,0,3,3,116.50338578224182,0.0624027777777777,0.3728767840523412,150,0.11,0.09,150
4,4,0.7680020332336426,0.6149981021881104,1.383000135421753,0.1167983870967742,0.3664596774193548,120,0.0992157359182098,0.3306826949599435,0.23,0.41,0.1489651203155517,0.1500346660614013,0.2869975566864013,4,0.1,0,4,4,114.74870324134828,0.0693492798353909,0.384383680623762,150,0.1,0.09,150
5,5,0.7700254917144775,0.6049752235412598,1.3750007152557373,0.1167983870967742,0.3664596774193548,125,0.0993405189043209,0.3321758872024897,0.24,0.41,0.1830818653106689,0.1449451446533203,0.3780441284179687,5,0.1,0,5,5,99.61304306983948,0.0639855967078189,0.3729858246357437,150,0.11,0.09,150
6,6,0.7809288501739502,0.6099953651428223,1.3909242153167725,0.1167983870967742,0.3664596774193548,125,0.1008722752700616,0.3402162021740199,0.27,0.48,0.1639051437377929,0.1560869216918945,0.2940239906311035,6,0.1,0,6,6,65.58603239059448,0.0534475308641975,0.3691829169561259,150,0.07,0.06,150
7,7,0.6900002956390381,0.6119732856750488,1.301973581314087,0.1167983870967742,0.3664596774193548,124,0.0954734519675925,0.3267162181712963,0.2,0.38,0.1579890251159668,0.1520323753356933,0.3652970790863037,7,0.1,0,7,7,92.0771872997284,0.0621363168724279,0.3789127135795953,150,0.08,0.07,150
8,8,0.8610506057739258,0.6214816570281982,1.482532262802124,0.1167983870967742,0.3664596774193548,120,0.0948308497299382,0.3280694703310677,0.19,0.34,0.1970851421356201,0.1669123172760009,0.3936507701873779,8,0.1,0,8,8,92.62903118133544,0.0614711934156378,0.4058761229689878,150,0.11,0.09,150
9,9,0.7939996719360352,0.6100265979766846,1.4040262699127195,0.1167983870967742,0.3664596774193548,125,0.0967387635030863,0.3358411423933921,0.23,0.39,0.1429166793823242,0.149083137512207,0.2849953174591064,9,0.1,0,9,9,72.55412578582764,0.0538019547325102,0.3679356813701597,150,0.1,0.08,148
