,antecedent,consequent,support,confidence
0,[19],[0],0.17,0.33
1,"[19, 29]",[0],0.06,0.33
2,[19],[0],0.17,0.33
3,"[19, 26]",[0],0.06,0.33
4,[20],[1],0.17,0.33
5,"[20, 26]",[1],0.06,0.33
6,[20],[1],0.17,0.33
7,"[20, 29]",[1],0.06,0.33
8,[20],[2],0.17,0.33
9,"[20, 26]",[2],0.06,0.33
10,[20],[2],0.17,0.33
11,"[20, 29]",[2],0.06,0.33
12,[20],[3],0.1,0.2
13,"[16, 20]",[3],0.03,0.2
14,[20],[3],0.1,0.2
15,"[20, 26]",[3],0.03,0.2
16,[19],[4],0.1,0.2
17,"[19, 26]",[4],0.03,0.2
18,[19],[4],0.1,0.2
19,"[19, 29]",[4],0.03,0.2
20,[19],[5],0.1,0.2
21,"[19, 26]",[5],0.03,0.2
22,[19],[5],0.1,0.2
23,"[19, 29]",[5],0.03,0.2
24,[19],[6],0.1,0.2
25,"[19, 26]",[6],0.03,0.2
26,[19],[6],0.1,0.2
27,"[19, 29]",[6],0.03,0.2
28,[19],[7],0.1,0.2
29,"[19, 26]",[7],0.03,0.2
30,[19],[7],0.1,0.2
31,"[19, 29]",[7],0.03,0.2
32,[19],[8],0.12,0.25
33,"[19, 22]",[8],0.04,0.25
34,[19],[8],0.12,0.25
35,"[19, 26]",[8],0.04,0.25
36,[19],[9],0.12,0.25
37,"[19, 26]",[9],0.04,0.25
38,[19],[9],0.12,0.25
39,"[19, 29]",[9],0.04,0.25
40,[19],[10],0.12,0.25
41,"[19, 24]",[10],0.04,0.25
42,[19],[10],0.12,0.25
43,"[19, 26]",[10],0.04,0.25
44,[19],[11],0.12,0.25
45,"[19, 24]",[11],0.04,0.25
46,[19],[11],0.12,0.25
47,"[19, 26]",[11],0.04,0.25
48,[19],[12],0.12,0.25
49,"[2, 19]",[12],0.04,0.25
50,[19],[12],0.12,0.25
51,"[19, 26]",[12],0.04,0.25
52,[19],[13],0.12,0.25
53,"[19, 26]",[13],0.04,0.25
54,[19],[13],0.12,0.25
55,"[2, 19]",[13],0.04,0.25
56,[19],[14],0.12,0.25
57,"[2, 19]",[14],0.04,0.25
58,[19],[14],0.12,0.25
59,"[19, 26]",[14],0.04,0.25
60,[19],[15],0.12,0.25
61,"[19, 26]",[15],0.04,0.25
62,[19],[15],0.12,0.25
63,"[19, 29]",[15],0.04,0.25
64,[19],[16],0.17,0.33
65,"[19, 29]",[16],0.06,0.33
66,[19],[16],0.17,0.33
67,"[19, 26]",[16],0.06,0.33
68,[19],[17],0.17,0.33
69,"[19, 26]",[17],0.06,0.33
70,[19],[17],0.17,0.33
71,"[19, 29]",[17],0.06,0.33
72,[19],[18],0.17,0.33
73,"[19, 22]",[18],0.06,0.33
74,[19],[18],0.17,0.33
75,"[19, 26]",[18],0.06,0.33
76,[26],[19],0.17,0.5
77,"[26, 29]",[19],0.17,0.5
78,[26],[19],0.17,0.5
79,"[22, 26]",[19],0.06,0.5
80,[26],[20],0.17,0.5
81,"[26, 29]",[20],0.17,0.5
82,[26],[20],0.17,0.5
83,"[22, 26]",[20],0.06,0.5
84,[19],[21],0.17,0.33
85,"[2, 19]",[21],0.06,0.33
86,[19],[21],0.17,0.33
87,"[16, 19]",[21],0.06,0.33
88,[19],[22],0.17,0.33
89,"[19, 29]",[22],0.06,0.33
90,[19],[22],0.17,0.33
91,"[19, 26]",[22],0.06,0.33
92,[19],[23],0.17,0.33
93,"[19, 26]",[23],0.06,0.33
94,[19],[23],0.17,0.33
95,"[16, 19]",[23],0.06,0.33
96,[19],[24],0.17,0.33
97,"[19, 28]",[24],0.1,0.55
98,[19],[24],0.17,0.33
99,"[2, 19]",[24],0.06,0.33
100,[19],[25],0.17,0.33
101,"[19, 28]",[25],0.08,0.45
102,[19],[25],0.17,0.33
103,"[19, 22]",[25],0.06,0.33
104,[29],[26],0.33,1.0
105,"[20, 29]",[26],0.17,1.0
106,[29],[26],0.33,1.0
107,"[19, 29]",[26],0.17,1.0
108,[16],[27],0.0,0.0
109,"[16, 19]",[27],0.0,0.0
110,[16],[27],0.0,0.0
111,"[16, 22]",[27],0.0,0.0
112,[19],[28],0.17,0.35
113,"[18, 19]",[28],0.05,0.29
114,[19],[28],0.17,0.35
115,"[2, 19]",[28],0.04,0.24
116,[26],[29],0.33,1.0
117,"[20, 26]",[29],0.17,1.0
118,[26],[29],0.33,1.0
119,"[19, 26]",[29],0.17,1.0
120,[28],[30],0.0,0.0
121,"[19, 28]",[30],0.0,0.0
122,[28],[30],0.0,0.0
123,"[18, 28]",[30],0.0,0.0
124,[19],[31],0.14,0.29
125,"[2, 19]",[31],0.07,0.43
126,[19],[31],0.14,0.29
127,"[18, 19]",[31],0.06,0.37
