,antecedent,consequent,support,confidence
0,[26],[55],0.9949937421777222,0.9996856334486011
1,[37],[55],0.9915519399249061,0.9996845425867508
2,[55],[37],0.9915519399249061,0.9918622848200312
3,"[26, 37]",[55],0.9868585732165206,0.9996830427892234
4,[57],[49],0.9818523153942428,0.9965068275643061
5,[49],[57],0.9818523153942428,0.9852433281004709
6,[57],[26],0.981226533166458,0.9958717053032707
7,[26],[57],0.981226533166458,0.9858535051870481
8,[37],[57],0.9774718397997497,0.9854889589905362
9,[33],[55],0.9693366708385481,0.999677315262988
10,[26],[59],0.9527534418022529,0.9572461490097454
11,[31],[26],0.9499374217772215,0.9986842105263157
12,[26],[31],0.9499374217772215,0.9544168500471549
13,[63],[57],0.945244055068836,1.0
14,"[57, 63]",[26],0.9427409261576971,0.9973518702416418
15,[45],[55],0.9424280350438048,0.9996681048788584
16,[49],[63],0.94180225281602,0.945054945054945
17,"[26, 49]",[63],0.9392991239048811,0.9470031545741325
18,[63],[37],0.9377346683354193,0.9920556107249255
19,[53],[37],0.9374217772215269,0.9917245945051307
20,[37],[53],0.9374217772215269,0.9451104100946371
21,"[49, 63]",[37],0.9342928660826032,0.9920265780730896
22,[2],[26],0.9274092615769712,0.9976438909458094
23,[53],[4],0.9133291614518148,0.9662363455809335
24,[63],[31],0.9030037546933667,0.9553128103277061
25,"[45, 63]",[57],0.898936170212766,1.0
26,"[37, 45]",[59],0.89549436795995,0.9581519919651825
27,"[2, 37]",[53],0.8707759699624531,0.9433898305084747
28,[2],[22],0.8288485607008761,0.8916189835072366
29,"[0, 33]",[63],0.8166458072590739,0.9504734158776402
30,"[39, 57]",[33],0.8135168961201502,0.9672619047619049
31,"[22, 59]",[63],0.8135168961201502,0.9495982468955442
32,"[26, 39]",[4],0.8132040050062578,0.961880088823094
33,"[59, 63]",[6],0.8125782227784731,0.8979944674965422
34,"[2, 63]",[22],0.7947434292866082,0.8968926553672316
35,"[43, 57]",[55],0.7872340425531915,0.9996027016289234
36,"[41, 63]",[49],0.7643929912390488,0.995517522412388
37,"[26, 59]",[43],0.7615769712140176,0.7993431855500821
38,"[28, 55]",[59],0.7537546933667084,0.9536817102137767
39,[43],[53],0.7525031289111389,0.9409233176838812
40,"[53, 61]",[4],0.7503128911138923,0.9599679743795035
41,"[14, 57]",[4],0.7449937421777222,0.9690679690679691
42,"[28, 53]",[37],0.7381101376720901,0.9949388443694643
43,"[22, 61]",[49],0.7274718397997497,0.9995700773860706
44,"[26, 45]",[14],0.7274718397997497,0.775517011340894
45,"[14, 55]",[2],0.7115143929912391,0.9099639855942377
46,"[33, 71]",[59],0.704630788485607,0.9715271786022434
47,"[28, 59]",[0],0.7043178973717147,0.9344126193441262
48,"[59, 69]",[49],0.7027534418022529,1.0
49,"[37, 69]",[33],0.7018147684605757,0.9605995717344753
50,"[59, 61]",[41],0.6695869837296621,0.8478605388272583
51,"[43, 61]",[26],0.6664580725907384,0.993006993006993
52,"[2, 57]",[35],0.6576971214017522,0.7188782489740082
53,"[4, 39]",[69],0.6567584480600751,0.806377257011141
54,[18],[53],0.6511264080100125,0.9352808988764045
55,[8],[53],0.6373591989987485,0.9567872240488493
56,"[18, 53]",[4],0.6351689612015019,0.9754925516578568
57,"[6, 51]",[37],0.6210888610763454,0.98903836571998
58,[47],[55],0.6179599499374218,1.0
59,[65],[26],0.6160826032540676,0.9924395161290323
60,"[49, 57]",[67],0.6135794743429287,0.6249203314212874
61,"[0, 41]",[39],0.6129536921151439,0.8637566137566138
62,"[6, 51]",[31],0.6029411764705882,0.9601395117090183
63,[65],[33],0.5988735919899875,0.9647177419354838
64,"[43, 69]",[57],0.5916770963704631,1.0
65,"[47, 63]",[55],0.5854192740926157,1.0
66,"[8, 31]",[2],0.5841677096370463,0.9311720698254364
67,"[49, 63]",[47],0.5838548185231539,0.6199335548172757
68,"[4, 65]",[33],0.5766583229036295,0.9634082592786198
69,"[14, 61]",[45],0.5750938673341677,0.930632911392405
70,"[45, 67]",[49],0.5732165206508135,0.9967355821545159
71,[20],[49],0.568523153942428,1.0
72,"[14, 41]",[45],0.5607008760951189,0.9222851260936694
73,"[6, 8]",[0],0.559136420525657,0.9048101265822784
74,[20],[57],0.5538172715894869,0.9741331865712715
75,"[4, 22]",[65],0.5334793491864831,0.6215822092599343
76,"[4, 20]",[57],0.5319148936170213,0.9742120343839541
77,"[20, 31]",[4],0.5200250312891114,0.960693641618497
78,[61],[8],0.5184605757196495,0.6297985556822501
79,"[20, 45]",[4],0.5172090112640801,0.9582608695652175
80,"[55, 73]",[31],0.513767209011264,0.9838226482923905
81,"[0, 18]",[28],0.5078222778473092,0.8306038894575231
82,"[4, 67]",[28],0.4974968710888611,0.7985936715218485
83,"[10, 57]",[45],0.48685857321652065,0.928955223880597
84,"[43, 49]",[47],0.4780976220275344,0.600392927308448
85,[74],[55],0.47747183979974966,0.9993451211525868
86,"[4, 12]",[16],0.4662077596996245,0.7476166583040642
87,"[4, 20]",[14],0.4374217772215269,0.8011461318051576
88,"[12, 18]",[45],0.4336670838548185,0.9396610169491525
89,"[37, 57]",[21],0.4239674593241552,0.43373879641485275
90,"[43, 71]",[24],0.41332916145181475,0.6862337662337662
91,"[65, 73]",[26],0.41270337922403005,1.0
92,"[8, 65]",[53],0.4095744680851064,0.996953541507997
93,"[16, 35]",[37],0.4073842302878598,1.0
94,"[26, 66]",[57],0.37922403003754696,1.0
95,[17],[33],0.3757822277847309,0.9876644736842105
96,"[6, 45]",[11],0.37202753441802255,0.44184318097361575
97,"[37, 68]",[55],0.363892365456821,1.0
98,"[59, 68]",[33],0.3429286608260325,0.9954586739327883
99,"[11, 14]",[4],0.3404255319148936,0.9403630077787382
100,[9],[37],0.33385481852315396,1.0
101,"[33, 48]",[6],0.32759699624530664,0.8725
102,"[57, 63]",[9],0.32540675844806005,0.34425686858656074
103,"[51, 74]",[57],0.32509386733416773,0.9567219152854511
104,"[0, 21]",[33],0.31382978723404253,0.945334590009425
105,"[10, 47]",[33],0.3097622027534418,0.9419600380589914
106,"[0, 68]",[49],0.3094493116395494,0.9949698189134809
107,"[20, 52]",[37],0.30663329161451813,1.0
108,"[43, 66]",[63],0.30350438047559447,0.9729187562688063
109,"[10, 69]",[28],0.3016270337922403,0.8463564530289729
110,"[19, 33]",[55],0.2903629536921151,1.0
111,"[25, 33]",[2],0.2900500625782228,0.9861702127659575
112,[11],[47],0.28911138923654567,0.626865671641791
113,"[37, 61]",[68],0.2853566958698373,0.3467680608365019
