,iter,timeNSGAII,avgSuppNSGAII,avgConfNSGAII,nbRules,NSGAIIFindInFp,FpFindInNSGAII,NSGAIINbNotNull
0,0,75.87982892990112,0.31777759308510645,0.7163633338654631,256,0.01,0.01,242
1,1,124.79625034332275,0.34468538917922215,0.7335798738294679,262,0.03,0.03,246
2,2,89.69198560714722,0.3100839702109907,0.6962193914208803,282,0.01,0.01,262
3,3,98.71292328834534,0.32605231446371163,0.7126772191630123,269,0.01,0.01,247
4,4,78.36904549598694,0.3647381889964081,0.7034605495455306,246,0.01,0.01,225
5,5,97.06078600883484,0.3609501796600589,0.703432118670676,248,0.04,0.04,227
6,6,77.85749912261963,0.32319629574991554,0.6935123225906602,263,0.02,0.02,238
7,7,121.3326826095581,0.3433231227750641,0.7341777226263491,257,0.01,0.02,240
8,8,88.60336947441101,0.32420394152110427,0.711949656252173,276,0.02,0.02,256
9,9,94.99407362937927,0.31189314263797496,0.7215782610824768,248,0.02,0.02,227
