,antecedent,consequent,support,confidence
0,[26],[29],0.3333333333333333,1.0
1,[29],[26],0.3333333333333333,1.0
2,"[20, 26]",[29],0.16666666666666666,1.0
3,[23],[19],0.16666666666666666,0.5
4,[26],[19],0.16666666666666666,0.5
5,[26],[20],0.16666666666666666,0.5
6,[21],[19],0.16666666666666666,0.5
7,[17],[19],0.16666666666666666,0.5
8,[24],[20],0.16666666666666666,0.5
9,[18],[20],0.16666666666666666,0.5
10,[20],[24],0.16666666666666666,0.3333333333333333
11,[19],[17],0.16666666666666666,0.3333333333333333
12,[20],[1],0.16666666666666666,0.3333333333333333
13,[20],[18],0.16666666666666666,0.3333333333333333
14,[28],[20],0.15601851851851853,0.47398030942334746
15,[20],[28],0.15601851851851853,0.31203703703703706
16,[28],[0],0.14845679012345678,0.45100796999531173
17,[0],[28],0.14845679012345678,0.44537037037037036
18,[25],[28],0.14305555555555555,0.42916666666666664
19,[9],[19],0.125,0.5
20,[13],[19],0.125,0.5
21,[14],[19],0.125,0.5
22,[10],[20],0.125,0.5
23,[19],[13],0.125,0.25
24,"[1, 29]",[26],0.1111111111111111,1.0
25,[1],[25],0.1111111111111111,0.3333333333333333
26,[17],[2],0.1111111111111111,0.3333333333333333
27,[16],[24],0.1111111111111111,0.3333333333333333
28,[22],[29],0.1111111111111111,0.3333333333333333
29,[16],[29],0.1111111111111111,0.3333333333333333
30,[16],[21],0.1111111111111111,0.3333333333333333
31,[1],[23],0.1111111111111111,0.3333333333333333
32,[29],[22],0.1111111111111111,0.3333333333333333
33,[25],[1],0.1111111111111111,0.3333333333333333
34,[26],[21],0.1111111111111111,0.3333333333333333
35,[6],[20],0.1,0.5
36,[19],[3],0.1,0.2
37,"[19, 28]",[24],0.09583333333333334,0.5534759358288771
38,[13],[28],0.08425925925925926,0.337037037037037
39,[28],[13],0.08425925925925926,0.2559774964838256
40,[11],[16],0.08333333333333333,0.3333333333333333
41,[15],[0],0.08333333333333333,0.3333333333333333
42,[14],[23],0.08333333333333333,0.3333333333333333
43,[13],[16],0.08333333333333333,0.3333333333333333
44,[11],[1],0.08333333333333333,0.3333333333333333
45,[14],[18],0.08333333333333333,0.3333333333333333
46,[9],[29],0.08333333333333333,0.3333333333333333
47,[14],[17],0.08333333333333333,0.3333333333333333
48,[29],[12],0.08333333333333333,0.25
49,[0],[11],0.08333333333333333,0.25
50,[21],[14],0.08333333333333333,0.25
51,[18],[12],0.08333333333333333,0.25
52,[26],[14],0.08333333333333333,0.25
53,[28],[15],0.07592592592592592,0.23066104078762306
54,"[4, 29]",[26],0.06666666666666667,1.0
55,[3],[16],0.06666666666666667,0.3333333333333333
56,[6],[0],0.06666666666666667,0.3333333333333333
57,[5],[26],0.06666666666666667,0.3333333333333333
58,[2],[5],0.06666666666666667,0.2
59,[25],[7],0.06666666666666667,0.2
60,[24],[3],0.06666666666666667,0.2
61,[29],[4],0.06666666666666667,0.2
62,[13],[8],0.0625,0.25
63,"[18, 31]",[20],0.062037037037037036,0.5
64,[12],[31],0.062037037037037036,0.24814814814814815
65,"[1, 26]",[20],0.05555555555555555,0.5
66,"[2, 24]",[20],0.05555555555555555,0.5
67,"[2, 22]",[20],0.05555555555555555,0.5
68,"[0, 24]",[20],0.05555555555555555,0.5
69,"[16, 20]",[26],0.05555555555555555,0.3333333333333333
70,"[19, 22]",[29],0.05555555555555555,0.3333333333333333
71,"[2, 17]",[31],0.05339506172839506,0.48055555555555557
72,"[15, 31]",[25],0.05185185185185185,0.5915492957746479
73,"[18, 31]",[24],0.05185185185185185,0.417910447761194
74,[6],[11],0.05,0.25
75,[8],[7],0.05,0.2
76,[9],[7],0.05,0.2
77,"[8, 28]",[24],0.04861111111111111,0.546875
78,"[22, 25]",[28],0.047685185185185185,0.4291666666666667
79,"[13, 28]",[24],0.04722222222222222,0.5604395604395604
80,"[2, 22]",[31],0.046296296296296294,0.4166666666666667
81,"[14, 25]",[19],0.041666666666666664,0.5
82,"[1, 8]",[20],0.041666666666666664,0.5
83,"[2, 8]",[20],0.041666666666666664,0.5
84,"[9, 17]",[19],0.041666666666666664,0.5
85,"[8, 17]",[20],0.041666666666666664,0.5
86,"[13, 21]",[19],0.041666666666666664,0.5
87,"[14, 21]",[20],0.041666666666666664,0.5
88,"[0, 9]",[19],0.041666666666666664,0.5
89,"[14, 20]",[17],0.041666666666666664,0.3333333333333333
90,"[11, 19]",[22],0.041666666666666664,0.3333333333333333
91,"[12, 19]",[16],0.041666666666666664,0.3333333333333333
92,"[8, 20]",[17],0.041666666666666664,0.3333333333333333
93,"[11, 19]",[26],0.041666666666666664,0.3333333333333333
94,"[14, 19]",[21],0.041666666666666664,0.3333333333333333
95,"[2, 19]",[14],0.041666666666666664,0.25
96,"[19, 24]",[10],0.041666666666666664,0.25
