,antecedent,consequent,support,confidence
0,[8],[12],0.12808717403179898,0.8721613155833986
1,[12],[8],0.12808717403179898,0.7901738205037248
2,[24],[30],0.1257008136626319,0.8809187991134394
3,[5],[21],0.11885799718236968,0.8000774143603638
4,[2],[30],0.11880049452287168,0.9410157139603735
5,[5],[31],0.11744918202466864,0.7905941552157925
6,[30],[5],0.11457404904976855,0.690282348865408
7,[66],[5],0.11440154107127455,0.8579128934885728
8,[2],[33],0.1132802392110635,0.8972899111819631
9,[33],[2],0.1132802392110635,0.7197661673364998
10,[6],[33],0.10508611023259826,0.8024149286498353
11,"[1, 67]",[12],0.10384980305339121,0.9598724422003719
12,"[8, 31]",[12],0.10172220465196516,0.9399574920297556
13,[39],[30],0.10014088151577011,0.8574593796159528
14,[30],[39],0.10014088151577011,0.6033258271262776
15,[12],[64],0.09950835226129208,0.6138701667257892
16,"[8, 30]",[2],0.09913458497455507,0.850308261405672
17,"[5, 66]",[21],0.09847330439032806,0.8607690374465946
18,"[12, 31]",[21],0.09827204508208505,0.8802472315220191
19,[37],[24],0.09525315545843996,0.8922704012927553
20,[24],[37],0.09525315545843996,0.6675397944791457
21,[2],[23],0.09427561024697392,0.7467547255750399
22,"[24, 28]",[30],0.0937580863114919,0.980751879699248
23,"[6, 33]",[5],0.0936143296627469,0.8908344733242134
24,"[9, 12]",[30],0.09275178977027687,0.9550029603315571
25,[65],[30],0.09257928179178287,0.8870523415977962
26,"[24, 40]",[9],0.09099795865558782,0.9450582263362198
27,"[1, 33]",[21],0.08927287887064776,0.7862750063307167
28,"[2, 34]",[24],0.08849659296742474,0.9855907780979827
29,[35],[9],0.08665650786348869,0.6151020408163266
30,"[9, 33]",[23],0.08481642275955263,0.7624709227190488
31,"[7, 64]",[12],0.08214254909289555,0.7991608391608391
32,"[12, 33]",[64],0.08214254909289555,0.6673674375145994
33,"[5, 35]",[9],0.08194128978465254,0.7713125845737483
34,"[20, 26]",[17],0.08107874989218251,0.7219662058371735
35,"[31, 64]",[66],0.08099249590293552,0.9424556707929074
36,"[6, 7]",[35],0.0807912365946925,0.9502874535001691
37,"[8, 24]",[23],0.0805899772864495,0.7696320702910489
38,"[21, 31]",[64],0.08030246398895949,0.7152368758002561
39,[1],[3],0.07981369138322647,0.4684441444481944
40,"[6, 65]",[33],0.07892240016100745,0.9534560611323377
41,"[11, 39]",[33],0.0775423363330554,0.9303208002759573
42,"[10, 63]",[33],0.07705356372732239,0.6170849643103845
43,"[3, 30]",[12],0.07644978580259337,0.9686703096539162
44,"[22, 24]",[30],0.07601851585635835,0.9706314243759177
45,"[6, 65]",[39],0.07466720335815531,0.9020493226814866
46,[51],[49],0.07449469537966132,0.5112470402525652
47,"[23, 25]",[37],0.07343089617894828,0.9210241615578796
48,"[9, 12]",[22],0.07291337224346627,0.7507400828892836
49,"[10, 30]",[8],0.07216583766999224,0.9369167599850691
50,"[64, 65]",[12],0.07179207038325522,0.9912663755458514
51,"[1, 66]",[9],0.0711307897990282,0.7438364401683704
52,"[3, 21]",[67],0.06989448261982116,0.9418829910887253
53,"[8, 12]",[53],0.06943446134383716,0.5420875420875421
54,"[34, 51]",[21],0.06877318075961013,0.8660391020999275
55,"[37, 46]",[53],0.06848566746212012,0.9822680412371133
56,"[64, 67]",[65],0.06811190017538311,0.8469789059706828
57,"[31, 37]",[35],0.0675368735804031,0.7840453938584779
58,"[34, 39]",[21],0.06707685230441908,0.9018167761886355
59,"[22, 23]",[30],0.06641557172019207,0.9846547314578007
60,"[2, 65]",[23],0.06632931773094505,0.7936016511867905
61,"[35, 39]",[22],0.06604180443345505,0.6702655383717536
62,"[5, 22]",[23],0.06575429113596504,0.6756277695716396
63,"[2, 33]",[49],0.06394295736177798,0.5644670050761421
64,"[12, 57]",[67],0.06224662890658693,0.8506876227897838
65,"[23, 66]",[51],0.059745263218423855,0.9231452687694359
66,"[0, 31]",[11],0.05945774992093384,0.9412835685025035
67,"[5, 46]",[2],0.05850895603921681,0.9522695367337388
68,[66],[61],0.057473908168252784,0.43100474342388967
69,"[23, 53]",[45],0.056323854978292745,0.6238853503184714
70,[9],[54],0.05589258503205773,0.4106463878326996
71,"[57, 67]",[51],0.055605071734567725,0.8456493222562309
72,"[23, 43]",[51],0.05439751588510969,0.9555555555555555
73,"[2, 22]",[11],0.05364998131163566,0.705748865355522
74,"[23, 34]",[3],0.05275869008941664,0.6636528028933093
75,"[26, 40]",[30],0.052413674132428624,0.8923152227116985
76,"[7, 40]",[8],0.05221241482418562,0.9003470500743679
77,"[2, 43]",[30],0.052154912164687615,0.9826652221018418
78,"[43, 54]",[18],0.05117736695322159,0.8
79,"[22, 60]",[2],0.05114861562347259,0.739094308267553
80,"[58, 67]",[57],0.05037232972024956,0.8808446455505279
81,"[29, 59]",[61],0.04930853051953653,0.94282572842221
82,"[28, 38]",[23],0.04899226589229752,0.9398786541643684
83,"[23, 61]",[9],0.048906011903050516,0.9664772727272727
84,"[7, 25]",[66],0.048445990627066504,0.953054298642534
85,"[23, 58]",[9],0.0484172392973175,0.9661503155479059
86,"[9, 61]",[12],0.048244731318823494,0.7630741246020918
87,[26],[67],0.048187228659325496,0.3491666666666667
88,"[7, 34]",[21],0.04778471004283948,0.9052287581699346
89,"[53, 54]",[23],0.04778471004283948,0.8179133858267716
90,"[12, 37]",[60],0.04772720738334148,0.5907473309608541
91,"[28, 58]",[40],0.04720968344785946,0.9721728833629365
92,"[0, 34]",[8],0.04626088956614243,0.9775212636695018
93,"[37, 49]",[52],0.04605963025789943,0.6785260482846251
94,"[2, 59]",[31],0.045915873609154424,0.9444115907746895
95,"[2, 12]",[61],0.04580086829015842,0.4517867271695973
96,"[21, 61]",[37],0.045714614300911414,0.7926221335992024
97,"[7, 28]",[35],0.04559960898191542,0.9390171699230314
98,"[23, 64]",[60],0.04536959834392341,0.82574568288854
99,"[24, 54]",[25],0.0451683390356804,0.9373508353221957
100,"[10, 30]",[53],0.0450820850464334,0.5852930197835013
101,"[31, 38]",[20],0.04505333371668439,0.8007153806847215
102,"[51, 58]",[65],0.04485207440844139,0.7023863124718596
103,"[7, 25]",[57],0.04482332307869239,0.8817873303167422
104,"[18, 53]",[32],0.044277047813461375,0.8261802575107297
105,"[5, 8]",[43],0.04370202121848135,0.4067433770404067
106,"[26, 37]",[5],0.04367326988873235,0.874496257915947
107,"[8, 61]",[35],0.04361576722923435,0.861442362294151
108,"[39, 66]",[61],0.04361576722923435,0.5114632501685772
109,[48],[53],0.04295448664500733,0.7381422924901186
110,"[33, 36]",[24],0.04272447600701532,0.89035350509287
111,"[28, 63]",[60],0.04260947068801932,0.741
112,"[37, 52]",[67],0.042379460050027316,0.8987804878048781
113,"[6, 58]",[34],0.04212069808228631,0.7142857142857143
114,"[31, 32]",[1],0.0420919467525373,0.7713382507903055
115,"[26, 58]",[16],0.0419481901037923,0.7075654704170707
116,"[11, 49]",[30],0.04157442281705529,0.9931318681318682
117,"[19, 49]",[33],0.04125815818981628,0.9755268524813052
118,[10],[29],0.04111440154107127,0.29698857736240913
119,"[8, 52]",[30],0.041085650211322274,0.9958188153310105
120,"[26, 34]",[24],0.04091314223282827,0.9868238557558946
121,"[7, 28]",[60],0.04071188292458526,0.8383658969804617
122,"[26, 39]",[5],0.04053937494609126,0.9482178883658373
123,"[30, 57]",[29],0.04039561829734625,0.5685957102387698
124,"[25, 36]",[53],0.04033811563784825,0.8119212962962962
125,"[1, 35]",[29],0.039935597021362235,0.33016401236035176
126,"[60, 65]",[53],0.03950432707512722,0.6291208791208791
127,"[32, 35]",[21],0.0388142951611512,0.8615188257817487
128,"[23, 36]",[32],0.038498030533912195,0.9004707464694016
129,"[30, 39]",[20],0.038498030533912195,0.3844387022681596
130,"[12, 66]",[45],0.038268019895920186,0.3790942751352891
131,"[12, 54]",[30],0.03806676058767718,0.9749631811487482
132,"[9, 16]",[31],0.038038009257928176,0.8681102362204725
133,"[42, 48]",[51],0.03800925792817918,0.8080684596577017
134,"[26, 37]",[17],0.03786550127943417,0.7582037996545768
135,"[8, 25]",[20],0.03775049596043817,0.4960332451832262
136,"[2, 41]",[12],0.037520485322446166,0.8501628664495114
137,"[7, 58]",[0],0.036887956067968145,0.7399077277970012
138,"[16, 64]",[5],0.03671544808947414,0.8716723549488055
139,"[45, 52]",[40],0.03637043213248613,0.9518434913468773
140,"[45, 52]",[9],0.03628417814323912,0.9495861550037621
141,"[2, 18]",[59],0.035910410856502116,0.7588092345078981
142,"[8, 47]",[46],0.03585290819700411,0.962934362934363
143,"[39, 54]",[2],0.0355941462292631,0.9508448540706604
144,"[22, 49]",[52],0.03519162761277709,0.720423778693349
145,"[20, 57]",[51],0.03516287628302809,0.8224613315400134
146,"[1, 26]",[6],0.03444409303930307,0.8600143575017948
147,"[52, 65]",[28],0.03389781777407205,0.9841402337228715
148,"[16, 43]",[45],0.03381156378482505,0.6373983739837398
149,"[17, 49]",[8],0.033437796498088035,0.8336917562724013
150,"[20, 47]",[38],0.03329403984934303,0.9538714991762768
