,iter,timeNSGAII,avgSuppNSGAII,avgConfNSGAII,nbRules,NSGAIIFindInFp,FpFindInNSGAII,NSGAIINbNotNull
0,0,1171.588425397873,0.04722250778199211,0.7747844075540576,278,0.02,0.02,278
1,1,724.4396860599518,0.04856306438705164,0.7700589546864123,278,0.02,0.02,277
2,2,783.2948558330536,0.04894589277979913,0.7762070266690249,217,0.02,0.03,216
3,3,812.2104032039642,0.044199620986856605,0.7665844075821285,228,0.02,0.03,228
4,4,827.974038362503,0.046433397544636434,0.7786567810661101,263,0.03,0.03,263
5,5,962.0690183639526,0.04655741296344815,0.8044995784560144,284,0.03,0.02,284
6,6,1354.687533378601,0.045781734129942186,0.7846965838027865,287,0.03,0.02,287
7,7,1386.242225408554,0.048841815231664386,0.8066325385962689,262,0.01,0.01,262
8,8,875.0769255161285,0.04445472204651965,0.7661225190269136,256,0.02,0.02,256
9,9,894.6234347820282,0.045762315370722256,0.7862901796792401,264,0.02,0.02,263
