,antecedent,consequent,support,confidence
0,[18],[0],0.1111111111111111,0.3333333333333333
1,"[18, 19]",[0],0.05555555555555555,0.3333333333333333
2,[18],[0],0.1111111111111111,0.3333333333333333
3,"[18, 20]",[0],0.05555555555555555,0.3333333333333333
4,[18],[1],0.1111111111111111,0.3333333333333333
5,"[18, 19]",[1],0.05555555555555555,0.3333333333333333
6,[18],[1],0.1111111111111111,0.3333333333333333
7,"[18, 20]",[1],0.05555555555555555,0.3333333333333333
8,[19],[2],0.16666666666666666,0.3333333333333333
9,"[19, 26]",[2],0.05555555555555555,0.3333333333333333
10,[19],[2],0.16666666666666666,0.3333333333333333
11,"[19, 29]",[2],0.05555555555555555,0.3333333333333333
12,[20],[3],0.1,0.2
13,"[20, 21]",[3],0.03333333333333333,0.2
14,[20],[3],0.1,0.2
15,"[20, 29]",[3],0.03333333333333333,0.2
16,[20],[4],0.1,0.2
17,"[20, 21]",[4],0.03333333333333333,0.2
18,[20],[4],0.1,0.2
19,"[20, 29]",[4],0.03333333333333333,0.2
20,[20],[5],0.1,0.2
21,"[20, 21]",[5],0.03333333333333333,0.2
22,[20],[5],0.1,0.2
23,"[9, 20]",[5],0.025,0.2
24,[20],[6],0.1,0.2
25,"[20, 21]",[6],0.03333333333333333,0.2
26,[20],[6],0.1,0.2
27,"[20, 29]",[6],0.03333333333333333,0.2
28,[20],[7],0.1,0.2
29,"[20, 26]",[7],0.03333333333333333,0.2
30,[20],[7],0.1,0.2
31,"[20, 29]",[7],0.03333333333333333,0.2
32,[19],[8],0.125,0.25
33,"[19, 21]",[8],0.041666666666666664,0.25
34,[19],[8],0.125,0.25
35,"[19, 26]",[8],0.041666666666666664,0.25
36,[19],[9],0.125,0.25
37,"[19, 21]",[9],0.041666666666666664,0.25
38,[19],[9],0.125,0.25
39,"[19, 26]",[9],0.041666666666666664,0.25
40,[19],[10],0.125,0.25
41,"[19, 21]",[10],0.041666666666666664,0.25
42,[19],[10],0.125,0.25
43,"[19, 29]",[10],0.041666666666666664,0.25
44,[19],[11],0.125,0.25
45,"[19, 21]",[11],0.041666666666666664,0.25
46,[19],[11],0.125,0.25
47,"[19, 29]",[11],0.041666666666666664,0.25
48,[20],[12],0.125,0.25
49,"[9, 20]",[12],0.03125,0.25
50,[20],[12],0.125,0.25
51,"[20, 26]",[12],0.041666666666666664,0.25
52,[20],[13],0.125,0.25
53,"[9, 20]",[13],0.03125,0.25
54,[20],[13],0.125,0.25
55,"[20, 26]",[13],0.041666666666666664,0.25
56,[20],[14],0.125,0.25
57,"[20, 26]",[14],0.041666666666666664,0.25
58,[20],[14],0.125,0.25
59,"[20, 29]",[14],0.041666666666666664,0.25
60,[20],[15],0.125,0.25
61,"[20, 26]",[15],0.041666666666666664,0.25
62,[20],[15],0.125,0.25
63,"[20, 29]",[15],0.041666666666666664,0.25
64,[19],[16],0.16666666666666666,0.3333333333333333
65,"[19, 21]",[16],0.05555555555555555,0.3333333333333333
66,[19],[16],0.16666666666666666,0.3333333333333333
67,"[19, 29]",[16],0.05555555555555555,0.3333333333333333
68,[19],[17],0.16666666666666666,0.3333333333333333
69,"[19, 21]",[17],0.05555555555555555,0.3333333333333333
70,[19],[17],0.16666666666666666,0.3333333333333333
71,"[19, 29]",[17],0.05555555555555555,0.3333333333333333
72,[19],[18],0.16666666666666666,0.3333333333333333
73,"[19, 21]",[18],0.05555555555555555,0.3333333333333333
74,[19],[18],0.16666666666666666,0.3333333333333333
75,"[19, 26]",[18],0.05555555555555555,0.3333333333333333
76,[26],[19],0.16666666666666666,0.5
77,"[26, 29]",[19],0.16666666666666666,0.5
78,[26],[19],0.16666666666666666,0.5
79,"[2, 26]",[19],0.05555555555555555,0.5
80,[26],[20],0.16666666666666666,0.5
81,"[26, 29]",[20],0.16666666666666666,0.5
82,[26],[20],0.16666666666666666,0.5
83,"[2, 26]",[20],0.05555555555555555,0.5
84,[19],[21],0.16666666666666666,0.3333333333333333
85,"[19, 26]",[21],0.05555555555555555,0.3333333333333333
86,[19],[21],0.16666666666666666,0.3333333333333333
