,antecedent,consequent,support,confidence
0,[9],[0],0.053333716684396654,0.39184621884241655
1,"[9, 40]",[0],0.0450820850464334,0.41090146750524115
2,[9],[0],0.053333716684396654,0.39184621884241655
3,"[9, 30]",[0],0.050573589028492565,0.43059975520195837
4,[11],[1],0.13800638279520427,0.8836524300441826
5,"[11, 12]",[1],0.11696040941893562,0.9757735668025905
6,[11],[1],0.13800638279520427,0.8836524300441826
7,"[11, 19]",[1],0.12785716339380696,0.9224227338726405
8,[24],[2],0.11497656766625457,0.8057626435623615
9,"[24, 34]",[2],0.08849659296742474,0.9688385269121812
10,[24],[2],0.11497656766625457,0.8057626435623615
11,"[24, 30]",[2],0.11152640809637446,0.8872369624885637
12,[8],[3],0.0838963802075846,0.5712607674236491
13,"[8, 12]",[3],0.08199879244415054,0.6401795735129068
14,[8],[3],0.0838963802075846,0.5712607674236491
15,"[8, 65]",[3],0.07245335096748225,0.7381370826010545
16,[23],[4],0.01713579253040453,0.15016376921138824
17,"[23, 28]",[4],0.01486443748023346,0.15976514215080345
18,[23],[4],0.01713579253040453,0.15016376921138824
19,"[23, 37]",[4],0.014893188809982461,0.16325244248345414
20,[21],[5],0.11885799718236968,0.931081081081081
21,"[21, 66]",[5],0.09847330439032806,0.9816566351390085
22,[21],[5],0.11885799718236968,0.931081081081081
23,"[21, 22]",[5],0.08800782036169173,0.9902944031057911
24,[35],[6],0.11460280037951755,0.813469387755102
25,"[12, 35]",[6],0.10485609959460625,0.8625827814569537
26,[35],[6],0.11460280037951755,0.813469387755102
27,"[35, 39]",[6],0.09151548259106984,0.9288007003209805
28,[10],[7],0.11721917138667663,0.8467289719626168
29,"[10, 63]",[7],0.10830625916448636,0.8673727837900068
30,[10],[7],0.11721917138667663,0.8467289719626168
31,"[10, 64]",[7],0.09071044535809782,0.9094840011530702
32,[12],[8],0.12808717403179898,0.7901738205037248
33,"[12, 39]",[8],0.10019838417526811,0.9268617021276596
34,[12],[8],0.12808717403179898,0.7901738205037248
35,"[1, 12]",[8],0.11575285356947759,0.8294190358467244
36,[40],[9],0.1097150743221874,0.8831289053459848
37,"[25, 40]",[9],0.09232051982404187,0.9299160150593686
38,[40],[9],0.1097150743221874,0.8831289053459848
39,"[37, 40]",[9],0.08441390414306661,0.9654718842486023
40,[63],[10],0.12486702509991088,0.7616625745352509
41,"[19, 63]",[10],0.11641413415370461,0.8211316163050091
42,[63],[10],0.12486702509991088,0.7616625745352509
43,"[7, 63]",[10],0.10830625916448636,0.9208017599608898
44,[1],[11],0.13800638279520427,0.809989875126561
45,"[1, 12]",[11],0.11696040941893562,0.8380716934487021
46,[1],[11],0.13800638279520427,0.809989875126561
47,"[1, 19]",[11],0.12785716339380696,0.920132422925719
48,[1],[12],0.13955895460165033,0.8191022612217348
49,"[1, 11]",[12],0.11696040941893562,0.8475
50,[1],[12],0.13955895460165033,0.8191022612217348
51,"[1, 39]",[12],0.09798453178459504,0.9779053084648494
52,[14],[13],0.059515252580431846,0.9473684210526316
53,"[14, 16]",[13],0.011529283229349357,0.9435294117647058
54,[14],[13],0.059515252580431846,0.9473684210526316
55,"[14, 17]",[13],0.010954256634369339,0.9361179361179361
56,[13],[14],0.059515252580431846,0.4329638151014432
57,"[13, 16]",[14],0.011529283229349357,0.6094224924012157
58,[13],[14],0.059515252580431846,0.4329638151014432
59,"[13, 17]",[14],0.010954256634369339,0.5269709543568464
60,[55],[15],0.054915039820591705,0.9095238095238096
61,"[48, 55]",[15],0.04603087892815043,0.941764705882353
62,[55],[15],0.054915039820591705,0.9095238095238096
63,"[43, 55]",[15],0.04864724993530951,0.9155844155844156
64,[53],[16],0.03904430579914321,0.31788389513108617
65,"[51, 53]",[16],0.03789425260918317,0.34538784067085954
66,[53],[16],0.03904430579914321,0.31788389513108617
67,"[44, 53]",[16],0.01483568615048446,0.364406779661017
68,[32],[17],0.15876484287398293,0.7857142857142858
69,"[32, 38]",[17],0.11394151979529053,0.7991530550514216
70,[32],[17],0.15876484287398293,0.7857142857142858
71,"[32, 67]",[17],0.04703717546936546,0.8547544409613375
72,[41],[18],0.11043385756591242,0.8154989384288748
73,"[26, 41]",[18],0.09220551450504585,0.8397486252945796
74,[41],[18],0.11043385756591242,0.8154989384288748
75,"[36, 41]",[18],0.09163048791006584,0.9118741058655222
76,[63],[19],0.1417728069923234,0.8647842862153631
77,"[10, 63]",[19],0.11641413415370461,0.932304858392816
78,[63],[19],0.1417728069923234,0.8647842862153631
79,"[11, 63]",[19],0.12426324717518185,0.9608714984437527
80,[26],[20],0.11230269399959748,0.8137500000000001
81,"[26, 38]",[20],0.09536816077743596,0.9383309759547384
82,[26],[20],0.11230269399959748,0.8137500000000001
83,"[26, 41]",[20],0.09329806503550789,0.8496988740507986
84,[5],[21],0.11885799718236968,0.8000774143603638
85,"[5, 66]",[21],0.09847330439032806,0.8607690374465946
86,[5],[21],0.11885799718236968,0.8000774143603638
87,"[5, 22]",[21],0.08800782036169173,0.9042836041358937
88,[5],[22],0.09732325120036801,0.6551190245790594
89,"[5, 21]",[22],0.08800782036169173,0.7404450895016933
90,[5],[22],0.09732325120036801,0.6551190245790594
91,"[5, 66]",[22],0.08280382967712256,0.7237999497361145
92,[28],[23],0.09303930306776688,0.8902338376891333
93,"[28, 37]",[23],0.08358011558034559,0.9359304571796523
94,[28],[23],0.09303930306776688,0.8902338376891333
95,"[2, 28]",[23],0.0841263908455766,0.9143749999999999
96,[2],[24],0.11497656766625457,0.9107264859940789
97,"[2, 34]",[24],0.08849659296742474,0.9855907780979827
98,[2],[24],0.11497656766625457,0.9107264859940789
99,"[2, 30]",[24],0.11152640809637446,0.9387705711519845
100,[40],[25],0.09927834162330008,0.7991205739412174
101,"[9, 40]",[25],0.09232051982404187,0.8414570230607967
102,[40],[25],0.09927834162330008,0.7991205739412174
103,"[22, 40]",[25],0.08174003047640953,0.9005384859043395
104,[20],[26],0.11230269399959748,0.7615519594462858
105,"[20, 38]",[26],0.09536816077743596,0.8357268833459309
106,[20],[26],0.11230269399959748,0.7615519594462858
107,"[20, 41]",[26],0.09329806503550789,0.9373194685153091
